Steps,Policy/Entropy,Environment/Lesson,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
1030000,1.9160174,3.0,131.69333333333333,0.607602,0.787918645692499,0.787918645692499,1.0
1040000,1.9322217,3.0,187.26415094339623,0.6735976,1.6046418452037956,1.6046418452037956,1.0
1050000,1.9354635,3.0,128.8108108108108,0.6154533,0.7073892285562542,0.7073892285562542,1.0
1060000,1.8905132,3.0,181.90196078431373,0.605743,1.5669580147816584,1.5669580147816584,1.0
1070000,1.9030792,3.0,193.42,0.55297744,1.7632207554213855,1.7632207554213855,1.0
1080000,1.8913597,3.0,219.07843137254903,0.5763473,2.1480811662398853,2.1480811662398853,1.0
1090000,1.8894762,3.0,196.51111111111112,0.6123696,1.7917514266239272,1.7917514266239272,1.0
1100000,1.8721613,3.0,214.64285714285714,0.5944891,2.129986080740179,2.129986080740179,1.0
1110000,1.8702487,3.0,262.7837837837838,0.6255147,3.033827576282862,3.033827576282862,1.0
1120000,1.8719331,3.0,350.72727272727275,0.7473988,4.535009879957546,4.535009879957546,1.0
1130000,1.8545043,3.0,384.2258064516129,0.70554614,5.0344653312237035,5.0344653312237035,1.0
1140000,1.8409487,3.0,326.0571428571429,0.78948283,4.230474994438035,4.230474994438035,1.0
1150000,1.8612565,3.0,266.46875,0.7230012,3.1079005282372236,3.1079005282372236,1.0
1160000,1.8389176,3.0,347.3125,0.7602823,4.692903942638828,4.692903942638828,1.0
1170000,1.8369901,3.0,448.85,0.87538236,5.5623008824057045,5.5623008824057045,1.0
1180000,1.8086383,3.0,527.8666666666667,0.9264711,7.797201247678863,7.797201247678863,1.0
1190000,1.7876842,3.0,363.6363636363636,0.86191744,4.8630190040126,4.8630190040126,1.0
1200000,1.794399,3.0,385.0952380952381,0.97841567,5.257172306378682,5.257172306378682,1.0
1210000,1.7953151,3.0,392.7857142857143,0.9077696,5.373718054130159,5.373718054130159,1.0
1220000,1.7656462,3.0,405.9230769230769,0.98191994,5.63192394719674,5.63192394719674,1.0
1230000,1.7674172,3.0,566.5833333333334,1.0877321,8.72448473672072,8.72448473672072,1.0
1240000,1.7561265,4.0,337.0,0.9907205,4.321500719948248,4.321500719948248,1.0
1250000,1.763252,4.0,404.59375,0.9867654,5.704144545830786,5.704144545830786,1.0
1260000,1.7437024,4.0,328.4761904761905,1.0028416,4.266181654873348,4.266181654873348,1.0
1270000,1.7315115,4.0,613.8461538461538,1.0805852,9.53940137074544,9.53940137074544,1.0
1280000,1.6803356,4.0,662.2380952380952,1.0408942,10.432372870899382,10.432372870899382,1.0
1290000,1.6820757,4.0,457.1,0.9999986,6.84222101867199,6.84222101867199,1.0
1300000,1.6794839,4.0,671.5833333333334,1.1147382,10.702701355020205,10.702701355020205,1.0
